employee_id,department,date,day_of_week,month,hours_reported,is_fraud,fraud_type,global_mean,global_std,z_score,dept_percentile
EMP-017,Operations,2024-01-01,Monday,January,8.21,False,,8.488692307692308,0.8433123952986823,-0.3304733918841548,0.3803846153846154
EMP-017,Operations,2024-01-02,Tuesday,January,9.99,False,,8.488692307692308,0.8433123952986823,1.7802509493246133,0.9246153846153846
EMP-017,Operations,2024-01-03,Wednesday,January,9.06,False,,8.488692307692308,0.8433123952986823,0.6774567710526164,0.7253846153846154
EMP-017,Operations,2024-01-04,Thursday,January,8.72,False,,8.488692307692308,0.8433123952986823,0.27428470587790793,0.5696153846153846
EMP-017,Operations,2024-01-05,Friday,January,7.59,False,,8.488692307692308,0.8433123952986823,-1.065669510732154,0.13
EMP-017,Operations,2024-01-08,Monday,January,7.59,False,,8.488692307692308,0.8433123952986823,-1.065669510732154,0.13
EMP-017,Operations,2024-01-09,Tuesday,January,7.09,False,,8.488692307692308,0.8433123952986823,-1.658569606577314,0.05
EMP-017,Operations,2024-01-10,Wednesday,January,9.5,False,,8.488692307692308,0.8433123952986823,1.1992088553963565,0.8507692307692307
EMP-017,Operations,2024-01-11,Thursday,January,8.73,False,,8.488692307692308,0.8433123952986823,0.2861427077948109,0.5746153846153846
EMP-017,Operations,2024-01-12,Friday,January,8.99,False,,8.488692307692308,0.8433123952986823,0.5944507576342937,0.68
EMP-017,Operations,2024-01-15,Monday,January,6.66,False,,8.488692307692308,0.8433123952986823,-2.168463689004151,0.01423076923076923
EMP-017,Operations,2024-01-16,Tuesday,January,10.19,False,,8.488692307692308,0.8433123952986823,2.0174109876626765,0.9811538461538462
EMP-017,Operations,2024-01-17,Wednesday,January,9.37,False,,8.488692307692308,0.8433123952986823,1.0450548304766138,0.818076923076923
EMP-017,Operations,2024-01-18,Thursday,January,7.78,False,,8.488692307692308,0.8433123952986823,-0.8403674743109929,0.19115384615384615
EMP-017,Operations,2024-01-19,Friday,January,7.68,False,,8.488692307692308,0.8433123952986823,-0.9589474934800255,0.15423076923076923
EMP-017,Operations,2024-01-22,Monday,January,7.69,False,,8.488692307692308,0.8433123952986823,-0.9470894915631215,0.1596153846153846
EMP-017,Operations,2024-01-23,Tuesday,January,8.04,False,,8.488692307692308,0.8433123952986823,-0.5320594244715111,0.3161538461538462
EMP-017,Operations,2024-01-24,Wednesday,January,8.56,False,,8.488692307692308,0.8433123952986823,0.08455667520745663,0.5046153846153846
EMP-017,Operations,2024-01-25,Thursday,January,8.35,False,,8.488692307692308,0.8433123952986823,-0.1644613650475115,0.43346153846153845
EMP-017,Operations,2024-01-26,Friday,January,8.01,False,,8.488692307692308,0.8433123952986823,-0.5676334302222199,0.3026923076923077
EMP-017,Operations,2024-01-29,Monday,January,8.76,False,,8.488692307692308,0.8433123952986823,0.32171671354551973,0.5857692307692308
EMP-017,Operations,2024-01-30,Tuesday,January,7.53,False,,8.488692307692308,0.8433123952986823,-1.1368175222335728,0.11884615384615385
EMP-017,Operations,2024-01-31,Wednesday,January,8.01,False,,8.488692307692308,0.8433123952986823,-0.5676334302222199,0.3026923076923077
EMP-010,Operations,2024-01-01,Monday,January,8.19,True,burst_padding,8.647076923076922,0.9188301005773006,-0.4974553214895126,0.37115384615384617
EMP-010,Operations,2024-01-02,Tuesday,January,8.4,True,burst_padding,8.647076923076922,0.9188301005773006,-0.26890381902125654,0.45653846153846156
EMP-010,Operations,2024-01-03,Wednesday,January,9.21,True,burst_padding,8.647076923076922,0.9188301005773006,0.6126519762134421,0.7680769230769231
EMP-010,Operations,2024-01-04,Thursday,January,7.74,True,burst_padding,8.647076923076922,0.9188301005773006,-0.9872085410643442,0.17576923076923076
EMP-010,Operations,2024-01-05,Friday,January,8.53,True,burst_padding,8.647076923076922,0.9188301005773006,-0.1274195555885283,0.4926923076923077
EMP-010,Operations,2024-01-08,Monday,January,8.71,True,burst_padding,8.647076923076922,0.9188301005773006,0.06848173224140626,0.5653846153846154
EMP-010,Operations,2024-01-09,Tuesday,January,6.99,True,burst_padding,8.647076923076922,0.9188301005773006,-1.8034639070223981,0.03576923076923077
EMP-010,Operations,2024-01-10,Wednesday,January,8.75,True,burst_padding,8.647076923076922,0.9188301005773006,0.1120153517591682,0.5811538461538461
EMP-010,Operations,2024-01-11,Thursday,January,7.64,True,burst_padding,8.647076923076922,0.9188301005773006,-1.096042589858752,0.1426923076923077
EMP-010,Operations,2024-01-12,Friday,January,7.14,True,burst_padding,8.647076923076922,0.9188301005773006,-1.6402128338307878,0.05653846153846154
EMP-010,Operations,2024-01-15,Monday,January,9.97,True,burst_padding,8.647076923076922,0.9188301005773006,1.4397907470509366,0.9230769230769231
EMP-010,Operations,2024-01-16,Tuesday,January,10.14,True,burst_padding,8.647076923076922,0.9188301005773006,1.6248086300014286,0.9730769230769231
EMP-010,Operations,2024-01-17,Wednesday,January,9.28,True,burst_padding,8.647076923076922,0.9188301005773006,0.6888358103695256,0.7903846153846154
EMP-010,Operations,2024-01-18,Thursday,January,8.04,True,burst_padding,8.647076923076922,0.9188301005773006,-0.6607063946811238,0.3161538461538462
EMP-010,Operations,2024-01-19,Friday,January,7.33,True,burst_padding,8.647076923076922,0.9188301005773006,-1.4334281411214138,0.08692307692307692
EMP-010,Operations,2024-01-22,Monday,January,8.93,True,burst_padding,8.647076923076922,0.9188301005773006,0.3079166395891008,0.6576923076923077
EMP-010,Operations,2024-01-23,Tuesday,January,8.36,True,burst_padding,8.647076923076922,0.9188301005773006,-0.31243743853902045,0.43923076923076926
EMP-010,Operations,2024-01-24,Wednesday,January,7.45,True,burst_padding,8.647076923076922,0.9188301005773006,-1.302827282568125,0.10115384615384615
EMP-010,Operations,2024-01-25,Thursday,January,8.49,True,burst_padding,8.647076923076922,0.9188301005773006,-0.17095317510629024,0.4796153846153846
EMP-010,Operations,2024-01-26,Friday,January,6.86,True,burst_padding,8.647076923076922,0.9188301005773006,-1.9449481704551272,0.026153846153846153
EMP-010,Operations,2024-01-29,Monday,January,9.7,True,burst_padding,8.647076923076922,0.9188301005773006,1.1459388153060357,0.8880769230769231
EMP-010,Operations,2024-01-30,Tuesday,January,7.92,True,burst_padding,8.647076923076922,0.9188301005773006,-0.7913072532344115,0.235
EMP-010,Operations,2024-01-31,Wednesday,January,8.88,True,burst_padding,8.647076923076922,0.9188301005773006,0.2534996151918984,0.6353846153846154
EMP-002,Engineering,2024-01-01,Monday,January,8.77,True,friday_inflator,8.818,1.4018417564324153,-0.03424066930504091,0.6717948717948717
EMP-002,Engineering,2024-01-02,Tuesday,January,8.32,True,friday_inflator,8.818,1.4018417564324153,-0.3552469440397987,0.5082051282051282
EMP-002,Engineering,2024-01-03,Wednesday,January,8.79,True,friday_inflator,8.818,1.4018417564324153,-0.019973723761274185,0.6784615384615384
EMP-002,Engineering,2024-01-04,Thursday,January,8.19,True,friday_inflator,8.818,1.4018417564324153,-0.44798209007428497,0.4430769230769231
EMP-002,Engineering,2024-01-05,Friday,January,11.99,True,friday_inflator,8.818,1.4018417564324153,2.262737563241452,0.9943589743589744
EMP-002,Engineering,2024-01-08,Monday,January,8.05,True,friday_inflator,8.818,1.4018417564324153,-0.5478507088806533,0.382051282051282
EMP-002,Engineering,2024-01-09,Tuesday,January,6.64,True,friday_inflator,8.818,1.4018417564324153,-1.55367036971623,0.019230769230769232
EMP-002,Engineering,2024-01-10,Wednesday,January,7.21,True,friday_inflator,8.818,1.4018417564324153,-1.1470624217188694,0.0917948717948718
EMP-002,Engineering,2024-01-11,Thursday,January,6.71,True,friday_inflator,8.818,1.4018417564324153,-1.5037360603130452,0.02358974358974359
EMP-002,Engineering,2024-01-12,Friday,January,12.09,True,friday_inflator,8.818,1.4018417564324153,2.334072290960287,0.9953846153846154
EMP-002,Engineering,2024-01-15,Monday,January,7.81,True,friday_inflator,8.818,1.4018417564324153,-0.7190540554058585,0.2746153846153846
EMP-002,Engineering,2024-01-16,Tuesday,January,8.22,True,friday_inflator,8.818,1.4018417564324153,-0.4265816717586336,0.46307692307692305
EMP-002,Engineering,2024-01-17,Wednesday,January,9.26,True,friday_inflator,8.818,1.4018417564324153,0.3152994965172516,0.811025641025641
EMP-002,Engineering,2024-01-18,Thursday,January,7.66,True,friday_inflator,8.818,1.4018417564324153,-0.8260561469841109,0.22435897435897437
EMP-002,Engineering,2024-01-19,Friday,January,10.39,True,friday_inflator,8.818,1.4018417564324153,1.1213819197400896,0.9433333333333334
EMP-002,Engineering,2024-01-22,Monday,January,8.75,True,friday_inflator,8.818,1.4018417564324153,-0.04850761484880765,0.6635897435897435
EMP-002,Engineering,2024-01-23,Tuesday,January,7.61,True,friday_inflator,8.818,1.4018417564324153,-0.8617235108435284,0.20282051282051283
EMP-002,Engineering,2024-01-24,Wednesday,January,7.06,True,friday_inflator,8.818,1.4018417564324153,-1.2540645132971224,0.06641025641025641
EMP-002,Engineering,2024-01-25,Thursday,January,7.76,True,friday_inflator,8.818,1.4018417564324153,-0.754721419265276,0.2551282051282051
